,Kolejka,season,home,away,date,hour,gh,ga,IsCancelled,IsWalkover
0,1,1927,1. FC Katowice,Ruch ChorzÛw,4/3/1927,16:00,7,0,0,0
1,1,1927,Warta PoznaÒ,Czarni LwÛw,4/3/1927,16:00,0,3,0,0
2,1,1927,TKS ToruÒ,Polonia Warszawa,4/3/1927,15:00,4,3,0,0
3,1,1927,Legia Warszawa,Warszawianka Warszawa,4/3/1927,15:30,1,4,0,0
4,1,1927,PogoÒ LwÛw,Hasmonea LwÛw,4/3/1927,15:30,7,1,1,0
5,1,1927,Klub TurystÛw £ÅÛdü,£ÅKS £ÅÛdü,4/3/1927,15:00,0,2,0,0
6,1,1927,Jutrzenka KrakÛw,Wis≥a KrakÛw,4/3/1927,15:45,0,4,0,0
7,2,1927,£ÅKS £ÅÛdü,Warta PoznaÒ,4/10/1927,15:30,2,1,0,0
8,2,1927,TKS ToruÒ,Warszawianka Warszawa,4/10/1927,15:00,4,2,0,0
9,2,1927,Czarni LwÛw,PogoÒ LwÛw,4/10/1927,15:30,3,1,0,0
10,2,1927,Wis≥a KrakÛw,Ruch ChorzÛw,4/10/1927,16:00,2,0,0,0
11,2,1927,1. FC Katowice,Klub TurystÛw £ÅÛdü,4/10/1927,16:00,4,1,0,0
12,2,1927,Legia Warszawa,Polonia Warszawa,4/10/1927,16:00,2,2,0,0
13,3,1927,Legia Warszawa,Wis≥a KrakÛw,4/18/1927,16:00,1,4,0,0
14,3,1927,Jutrzenka KrakÛw,Czarni LwÛw,4/17/1927,16:00,1,6,0,0
15,3,1927,£ÅKS £ÅÛdü,TKS ToruÒ,4/18/1927,15:30,4,1,0,0
16,3,1927,Polonia Warszawa,Warszawianka Warszawa,4/17/1927,16:30,4,2,0,0
17,3,1927,Klub TurystÛw £ÅÛdü,Wis≥a KrakÛw,4/17/1927,15:00,5,1,0,0
18,4,1927,Wis≥a KrakÛw,Hasmonea LwÛw,4/24/1927,16:00,3,1,0,0
19,4,1927,Klub TurystÛw £ÅÛdü,PogoÒ LwÛw,4/24/1927,15:30,1,1,0,0
20,4,1927,Czarni LwÛw,Polonia Warszawa,4/24/1927,16:00,1,1,0,0
21,4,1927,Warszawianka Warszawa,Warta PoznaÒ,4/24/1927,16:30,1,5,0,0
22,4,1927,TKS ToruÒ,Legia Warszawa,4/24/1927,16:00,2,2,0,0
23,4,1927,Ruch ChorzÛw,£ÅKS £ÅÛdü,4/24/1927,16:30,1,3,0,0
24,5,1927,Warta PoznaÒ,1. FC Katowice,5/1/1927,16:00,1,0,0,0
25,5,1927,Ruch ChorzÛw,Warszawianka Warszawa,5/1/1927,16:00,0,0,0,0
26,5,1927,Jutrzenka KrakÛw,TKS ToruÒ,5/1/1927,16:30,2,4,0,0
27,5,1927,Polonia Warszawa,Klub TurystÛw £ÅÛdü,5/1/1927,16:30,2,1,1,0
28,6,1927,Polonia Warszawa,Wis≥a KrakÛw,5/3/1927,16:30,2,1,0,0
29,7,1927,1. FC Katowice,PogoÒ LwÛw,5/8/1927,16:00,1,0,0,0
30,7,1927,Warta PoznaÒ,Jutrzenka KrakÛw,5/8/1927,16:00,4,0,0,0
31,7,1927,Wis≥a KrakÛw,Czarni LwÛw,5/8/1927,16:30,4,0,0,0
32,7,1927,Klub TurystÛw £ÅÛdü,Legia Warszawa,5/8/1927,16:00,1,6,0,0
33,7,1927,Hasmonea LwÛw,Polonia Warszawa,5/8/1927,16:30,2,2,0,0
34,7,1927,Warszawianka Warszawa,£ÅKS £ÅÛdü,5/8/1927,16:30,2,1,0,0
35,7,1927,TKS ToruÒ,Ruch ChorzÛw,5/8/1927,16:25,0,4,0,0
36,8,1927,PogoÒ LwÛw,Warszawianka Warszawa,5/15/1927,17:00,2,1,0,0
37,8,1927,Ruch ChorzÛw,Hasmonea LwÛw,5/15/1927,16:00,1,1,0,0
38,8,1927,Czarni LwÛw,1. FC Katowice,5/15/1927,15:00,0,1,0,0
39,8,1927,Jutrzenka KrakÛw,Polonia Warszawa,5/15/1927,15:30,0,0,0,0
40,8,1927,Legia Warszawa,Warta PoznaÒ,5/15/1927,17:00,3,1,0,0
41,8,1927,£ÅKS £ÅÛdü,Wis≥a KrakÛw,5/15/1927,16:00,0,0,0,0
42,8,1927,TKS ToruÒ,Klub TurystÛw £ÅÛdü,5/15/1927,16:00,2,1,0,0
43,9,1927,Wis≥a KrakÛw,Warta PoznaÒ,5/22/1927,17:00,4,1,0,0
44,9,1927,1. FC Katowice,Warszawianka Warszawa,5/22/1927,16:00,3,2,0,0
45,9,1927,Polonia Warszawa,Ruch ChorzÛw,5/22/1927,18:30,3,5,0,0
46,9,1927,Klub TurystÛw £ÅÛdü,Czarni LwÛw,5/22/1927,16:30,3,2,0,0
47,9,1927,Hasmonea LwÛw,TKS ToruÒ,5/22/1927,15:00,2,5,0,0
48,9,1927,PogoÒ LwÛw,£ÅKS £ÅÛdü,5/22/1927,17:00,2,0,0,0
49,10,1927,Czarni LwÛw,Hasmonea LwÛw,5/26/1927,17:00,2,3,0,0
50,10,1927,TKS ToruÒ,PogoÒ LwÛw,5/26/1927,16:00,3,5,0,0
51,10,1927,Jutrzenka KrakÛw,Ruch ChorzÛw,5/26/1927,17:15,1,3,0,0
52,11,1927,£ÅKS £ÅÛdü,Hasmonea LwÛw,5/29/1927,16:30,3,0,0,0
53,11,1927,Wis≥a KrakÛw,1. FC Katowice,5/29/1927,17:00,3,0,0,0
54,11,1927,Ruch ChorzÛw,Klub TurystÛw £ÅÛdü,5/29/1927,17:00,2,0,0,0
55,11,1927,Legia Warszawa,PogoÒ LwÛw,5/29/1927,17:00,4,3,0,0
56,11,1927,Warta PoznaÒ,Polonia Warszawa,5/29/1927,17:15,4,1,0,0
57,12,1927,Hasmonea LwÛw,1. FC Katowice,6/5/1927,17:00,2,4,0,0
58,12,1927,Warszawianka Warszawa,Czarni LwÛw,6/5/1927,17:00,1,5,0,0
59,12,1927,Legia Warszawa,Czarni LwÛw,6/6/1927,17:30,2,0,0,0
60,13,1927,Warta PoznaÒ,Ruch ChorzÛw,6/12/1927,17:30,1,4,0,0
61,13,1927,1. FC Katowice,Legia Warszawa,6/12/1927,17:00,2,3,0,0
62,13,1927,Polonia Warszawa,Klub TurystÛw £ÅÛdü,6/12/1927,17:30,0,3,0,0
63,13,1927,£ÅKS £ÅÛdü,Jutrzenka KrakÛw,6/12/1927,17:00,2,1,0,0
64,14,1927,£ÅKS £ÅÛdü,Polonia Warszawa,6/16/1927,17:00,3,4,0,0
65,14,1927,Warszawianka Warszawa,Wis≥a KrakÛw,6/16/1927,17:30,0,2,0,0
66,14,1927,Jutrzenka KrakÛw,Legia Warszawa,6/16/1927,17:30,5,4,0,0
